title,console
Borderlands: The Handsome Collection,PS4
Lego Marvel Super Heroes 2,Switch
Assassin's Creed IV,PS3
Batman: Return to Arkham,PS4
Mass Effect: Andromeda,PS4
Lego City Undercover,PS4
Lego City Undercover,Switch
Lego Harry Potter Collection,PS4
Lego Marvel Avengers,PS4
South Park the Fractured but Whole,PS4
Assassin's Creed Origins,PS4
Kingdom Hearts HD 1.5 + 2.5 Remix,PS4
Tomb Raider: Definitive Edition,PS4
Dragon Age: Inquisition,PS4
Fallout 4,PS4
Assassin's Creed Unity,PS4
Assassin's Creed Syndicate,PS4
Lego Batman 3 Beyond Gotham,PS4
Lego Jurassic World,PS4
Dark Souls III,PS4
Uncharted: The Nathan Drake Collection,PS4
BioShock: The Collection,Xbox One
Resident Evil 4,Xbox One
Portal Knights,Xbox One
Lego City Undercover,PS4
Diablo III: Reaper of Souls,PS4
Deadpool,PS4
Final Fantasy X | X2,PS4
"Sims 4, The",PS4
Zelda: Breath of the Wild,Switch
